PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GP
F. Edu,ADMU,4.416666666679999,0.4,0.6,66.6666666667,0.4,0.4,100.0,0.0,0.2,0.0,0.2,0.8,25.0,1.0,0.4,0.4,0.8,0.4,0.2,0.2,0.0,0.2,1.0,0.6,2.2,5.0
S. Quitevis,ADMU,25.92037037037778,1.1111111111111112,2.888888888888889,38.4615384615,0.7777777777777778,1.6666666666666667,46.6666666667,0.3333333333333333,1.2222222222222223,27.2727272727,0.6666666666666666,0.6666666666666666,100.0,3.2222222222222223,0.6666666666666666,1.4444444444444444,2.111111111111111,2.2222222222222223,0.5555555555555556,0.7777777777777778,0.0,0.7777777777777778,3.111111111111111,1.1111111111111112,-5.222222222222222,9.0
W. Espina,ADMU,8.4111111111,0.6666666666666666,2.888888888888889,23.0769230769,0.3333333333333333,1.2222222222222223,27.2727272727,0.3333333333333333,1.6666666666666667,20.0,0.4444444444444444,0.7777777777777778,57.1428571429,2.111111111111111,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.6666666666666666,1.1111111111111112,0.4444444444444444,2.0,9.0
C. Koon,ADMU,24.471428571414286,2.142857142857143,8.285714285714286,25.8620689655,1.1428571428571428,4.142857142857143,27.5862068966,1.0,4.142857142857143,24.1379310345,1.2857142857142858,2.5714285714285716,50.0,6.571428571428571,0.8571428571428571,2.7142857142857144,3.5714285714285716,2.5714285714285716,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,2.4285714285714284,2.857142857142857,-0.42857142857142855,7.0
J. Bahay,ADMU,23.385185185188888,3.0,12.0,25.0,1.4444444444444444,4.333333333333333,33.3333333333,1.5555555555555556,7.666666666666667,20.2898550725,2.111111111111111,3.3333333333333335,63.3333333333,9.666666666666666,0.8888888888888888,2.3333333333333335,3.2222222222222223,4.444444444444445,1.1111111111111112,0.7777777777777778,0.0,0.7777777777777778,2.0,3.0,-1.2222222222222223,9.0
M. Reyes,ADMU,2.5333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,2.0
K. Porter,ADMU,23.255555555555556,2.5555555555555554,7.888888888888889,32.3943661972,1.7777777777777777,4.777777777777778,37.2093023256,0.7777777777777778,3.111111111111111,25.0,1.1111111111111112,2.3333333333333335,47.619047619,7.0,2.3333333333333335,4.777777777777778,7.111111111111111,0.6666666666666666,0.8888888888888888,1.0,0.4444444444444444,1.4444444444444444,2.2222222222222223,1.4444444444444444,-2.2222222222222223,9.0
S. Tuano,ADMU,20.68518518518889,4.111111111111111,8.333333333333334,49.3333333333,3.7777777777777777,6.555555555555555,57.6271186441,0.3333333333333333,1.7777777777777777,18.75,2.111111111111111,4.666666666666667,45.2380952381,10.666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.7777777777777778,2.0,0.7777777777777778,0.0,0.7777777777777778,1.7777777777777777,3.2222222222222223,-4.333333333333333,9.0
I. Espinosa,ADMU,17.159259259255556,1.3333333333333333,4.666666666666667,28.5714285714,1.0,2.888888888888889,34.615384615400004,0.3333333333333333,1.7777777777777777,18.75,1.3333333333333333,2.0,66.6666666667,4.333333333333333,0.5555555555555556,2.6666666666666665,3.2222222222222223,1.7777777777777777,0.7777777777777778,1.0,0.3333333333333333,1.3333333333333333,1.5555555555555556,3.2222222222222223,-2.0,9.0
K. Ong,ADMU,6.5249999999999995,0.3333333333333333,0.6666666666666666,50.0,0.3333333333333333,0.6666666666666666,50.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,50.0,0.8333333333333334,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.3333333333333333,-1.3333333333333333,6.0
A. Bongo,ADMU,19.92407407407778,2.111111111111111,7.0,30.1587301587,0.5555555555555556,2.111111111111111,26.3157894737,1.5555555555555556,4.888888888888889,31.8181818182,1.4444444444444444,1.6666666666666667,86.6666666667,7.222222222222222,1.0,2.2222222222222223,3.2222222222222223,1.3333333333333333,0.5555555555555556,0.8888888888888888,0.2222222222222222,1.1111111111111112,1.8888888888888888,1.6666666666666667,1.0,9.0
A. Balogun,ADMU,11.211111111111112,0.8888888888888888,2.7777777777777777,32.0,0.8888888888888888,2.4444444444444446,36.3636363636,0.0,0.3333333333333333,0.0,1.8888888888888888,3.111111111111111,60.7142857143,3.6666666666666665,1.8888888888888888,2.2222222222222223,4.111111111111111,0.2222222222222222,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.7777777777777778,2.0,2.6666666666666665,-1.7777777777777777,9.0
J. Lazaro,ADMU,23.5562499999875,3.625,8.375,43.2835820896,3.0,7.0,42.8571428571,0.625,1.375,45.4545454545,0.75,2.125,35.2941176471,8.625,2.375,4.25,6.625,1.625,1.5,0.625,0.5,1.125,2.125,3.125,-9.125,8.0
K. Gamber,ADMU,6.942857142857143,1.0,3.0,33.3333333333,0.0,0.7142857142857143,0.0,1.0,2.2857142857142856,43.75,0.14285714285714285,0.14285714285714285,100.0,3.142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.7142857142857143,0.0,-3.2857142857142856,7.0
