PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Padrones,NU,20.32407407406667,2.7777777777777777,5.111111111111111,54.347826087,2.4444444444444446,4.222222222222222,57.8947368421,0.3333333333333333,0.8888888888888888,37.5,1.1111111111111112,2.2222222222222223,50.0,7.0,2.888888888888889,3.2222222222222223,6.111111111111111,0.5555555555555556,0.8888888888888888,0.2222222222222222,0.7777777777777778,1.0,2.4444444444444446,2.0,-5.0,2.0,9.0
K. Perciano,NU,7.0851851852,1.2222222222222223,2.6666666666666665,45.8333333333,1.2222222222222223,2.6666666666666665,45.8333333333,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,50.0,2.5555555555555554,0.2222222222222222,0.7777777777777778,1.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,1.4444444444444444,0.1111111111111111,-4.333333333333333,2.0,9.0
S. Enriquez,NU,18.694444444444443,2.2222222222222223,5.555555555555555,40.0,0.8888888888888888,2.111111111111111,42.1052631579,1.3333333333333333,3.4444444444444446,38.7096774194,1.3333333333333333,1.5555555555555556,85.7142857143,7.111111111111111,0.3333333333333333,1.2222222222222223,1.5555555555555556,2.5555555555555554,1.0,0.6666666666666666,0.1111111111111111,0.7777777777777778,1.0,1.5555555555555556,0.3333333333333333,2.0,9.0
G. Santiago,NU,8.246296296299999,0.4444444444444444,2.6666666666666665,16.6666666667,0.1111111111111111,1.0,11.1111111111,0.3333333333333333,1.6666666666666667,20.0,1.1111111111111112,1.3333333333333333,83.3333333333,2.3333333333333335,0.6666666666666666,1.2222222222222223,1.8888888888888888,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.5555555555555556,1.3333333333333333,1.1111111111111112,-1.4444444444444444,2.0,9.0
M. Diassana,NU,4.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0
J. Figueroa,NU,30.944444444444443,4.111111111111111,10.777777777777779,38.1443298969,3.5555555555555554,8.11111111111111,43.8356164384,0.5555555555555556,2.6666666666666665,20.8333333333,2.2222222222222223,3.3333333333333335,66.6666666667,11.0,1.6666666666666667,5.666666666666667,7.333333333333333,2.6666666666666665,2.888888888888889,0.6666666666666666,0.2222222222222222,0.8888888888888888,3.0,4.222222222222222,-2.2222222222222223,2.0,9.0
I. Manansala,NU,23.220370370355553,3.2222222222222223,7.666666666666667,42.0289855072,3.0,5.888888888888889,50.9433962264,0.2222222222222222,1.7777777777777777,12.5,2.111111111111111,3.111111111111111,67.8571428571,8.777777777777779,2.2222222222222223,3.6666666666666665,5.888888888888889,1.1111111111111112,1.1111111111111112,0.6666666666666666,0.0,0.6666666666666666,2.111111111111111,3.4444444444444446,0.7777777777777778,2.0,9.0
N. Tulabut,NU,5.1805555555666665,0.5,1.1666666666666667,42.8571428571,0.5,0.6666666666666666,75.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.8333333333333334,0.5,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,-0.8333333333333334,1.0,6.0
T. Garcia,NU,9.46666666667143,1.4285714285714286,3.0,47.619047619,1.4285714285714286,3.0,47.619047619,0.0,0.0,0.0,1.0,1.7142857142857142,58.3333333333,3.857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.1428571428571428,1.5714285714285714,0.0,0.0,0.0,2.142857142857143,1.1428571428571428,-3.5714285714285716,1.0,7.0
P. Francisco,NU,11.1074074074,1.6666666666666667,4.222222222222222,39.4736842105,1.0,2.2222222222222223,45.0,0.6666666666666666,2.0,33.3333333333,0.0,0.0,0.0,4.0,0.8888888888888888,0.8888888888888888,1.7777777777777777,0.6666666666666666,0.3333333333333333,0.8888888888888888,0.2222222222222222,1.1111111111111112,1.0,0.4444444444444444,2.0,2.0,9.0
